hiddenLayerSize,loss
"[5, 5, 5, 5, 5]",0.26429299813536705
"[5, 5, 5, 5, 5]",0.25486739169451633
"[5, 5, 5, 5, 5]",0.25026459261683887
"[5, 5, 5, 5, 5]",0.23714925246776258
"[10, 10, 10, 10, 10]",0.23000691001426382
"[10, 10, 10, 10, 10]",0.20445892125920037
"[10, 10, 10, 10, 10]",0.19223023742393075
"[10, 10, 10, 10, 10]",0.19251189916579967
"[15, 15, 15, 15, 15]",0.21257319377635775
"[15, 15, 15, 15, 15]",0.19296150587951397
"[15, 15, 15, 15, 15]",0.1893187624944851
"[15, 15, 15, 15, 15]",0.18239925752942163
"[20, 20, 20, 20, 20]",0.20334790667050048
"[20, 20, 20, 20, 20]",0.19027316235637176
"[20, 20, 20, 20, 20]",0.1841870986060345
"[20, 20, 20, 20, 20]",0.1854322494240264
"[25, 25, 25, 25, 25]",0.1984915924681197
"[25, 25, 25, 25, 25]",0.18801371794207322
"[25, 25, 25, 25, 25]",0.1790859713103287
"[25, 25, 25, 25, 25]",0.17977609112516488
"[30, 30, 30, 30, 30]",0.199314606458972
"[30, 30, 30, 30, 30]",0.18915059483694333
"[30, 30, 30, 30, 30]",0.18211882487393702
"[30, 30, 30, 30, 30]",0.1850531222232194
"[35, 35, 35, 35, 35]",0.19374727198333555
"[35, 35, 35, 35, 35]",0.1813040544612958
"[35, 35, 35, 35, 35]",0.17689975920439388
"[35, 35, 35, 35, 35]",0.18604818771457474
