hiddenLayerSize,loss
"[15, 15]",0.24587140559807816
"[15, 15, 15]",0.22757367680069163
"[15, 15, 15, 15]",0.22140402549736443
"[15, 15, 15, 15, 15]",0.21917490895841993
"[20, 20]",0.23810351359733606
"[20, 20, 20]",0.22472605553572966
"[20, 20, 20, 20]",0.2193360492430856
"[20, 20, 20, 20, 20]",0.22244898014477074
"[25, 25]",0.23577925706746972
"[25, 25, 25]",0.22166809261400686
"[25, 25, 25, 25]",0.21523885845550056
"[25, 25, 25, 25, 25]",0.22005386269281813
"[30, 30]",0.23357933746138743
"[30, 30, 30]",0.21893876596599451
"[30, 30, 30, 30]",0.21639363607668619
"[30, 30, 30, 30, 30]",0.2257109421555328
"[35, 35]",0.23052692599241104
"[35, 35, 35]",0.2187371613744752
"[35, 35, 35, 35]",0.2126241265996128
"[35, 35, 35, 35, 35]",0.2263950578943969
"[40, 40]",0.23199207344149536
"[40, 40, 40]",0.21954100653430889
"[40, 40, 40, 40]",0.215195104192633
"[40, 40, 40, 40, 40]",0.2269800271054333
"[45, 45]",0.2300519762723506
"[45, 45, 45]",0.21817445829802776
"[45, 45, 45, 45]",0.2138221179117115
"[45, 45, 45, 45, 45]",0.21670033443961115
"[50, 50]",0.22878685655471245
"[50, 50, 50]",0.21770457095545787
"[50, 50, 50, 50]",0.2149630712495869
"[50, 50, 50, 50, 50]",0.21834113292503016
