hiddenLayerSize,loss
"[15, 15]",0.13436455018193905
"[15, 15, 15]",0.11251310984062093
"[15, 15, 15, 15]",0.10889457830935138
"[15, 15, 15, 15, 15]",0.109042018876804
"[20, 20]",0.12897914609760222
"[20, 20, 20]",0.10966845669552508
"[20, 20, 20, 20]",0.10765286310551417
"[20, 20, 20, 20, 20]",0.10845506503245692
"[25, 25]",0.12724330521590949
"[25, 25, 25]",0.10843532647801025
"[25, 25, 25, 25]",0.10422138020270354
"[25, 25, 25, 25, 25]",0.1031982984690791
"[30, 30]",0.12404597444410424
"[30, 30, 30]",0.10885564770807794
"[30, 30, 30, 30]",0.10432203779571621
"[30, 30, 30, 30, 30]",0.10387597356041876
"[35, 35]",0.12191206462841585
"[35, 35, 35]",0.10768603638205518
"[35, 35, 35, 35]",0.10480482460068576
"[35, 35, 35, 35, 35]",0.1027591254664521
"[40, 40]",0.12032360045721648
"[40, 40, 40]",0.10583113392663802
"[40, 40, 40, 40]",0.10245790947408284
"[40, 40, 40, 40, 40]",0.10262621769293997
"[45, 45]",0.12031542312267222
"[45, 45, 45]",0.10510125461530025
"[45, 45, 45, 45]",0.10260644237223829
"[45, 45, 45, 45, 45]",0.10567142924635302
"[50, 50]",0.1183755095789859
"[50, 50, 50]",0.10320761459178109
"[50, 50, 50, 50]",0.10302133387326437
"[50, 50, 50, 50, 50]",0.10278883235583847
