hiddenLayerSize,trainTime,loss,bestValidationScore
"[15, 15]",0:00:12,0.017205837526906104,0.9649507321284112
"[15, 15, 15]",0:00:12,0.015009015835657752,0.9714085646786805
"[15, 15, 15, 15]",0:00:22,0.013488621796066457,0.9728203963178691
"[15, 15, 15, 15, 15]",0:00:19,0.013469661617119355,0.975567799471063
"[20, 20]",0:00:13,0.015272522842835107,0.9704101896773425
"[20, 20, 20]",0:00:11,0.014433586443771063,0.9705568069890909
"[20, 20, 20, 20]",0:00:10,0.014659755306820232,0.9708325681002009
"[20, 20, 20, 20, 20]",0:00:15,0.013577730659519054,0.9750913088609608
"[25, 25]",0:00:12,0.014879505624113042,0.9674640853852935
"[25, 25, 25]",0:00:16,0.013777577404317164,0.9751199887537586
"[25, 25, 25, 25]",0:00:15,0.013405102657833502,0.9733520166680726
"[25, 25, 25, 25, 25]",0:00:18,0.012973932025340803,0.9719632279696327
"[30, 30]",0:00:11,0.01525749846077259,0.9708489449250877
"[30, 30, 30]",0:00:11,0.0135934491856317,0.9717282722324443
"[30, 30, 30, 30]",0:00:23,0.012723025061108941,0.974629993119271
"[30, 30, 30, 30, 30]",0:00:13,0.013330835940853393,0.9724454096574603
"[35, 35]",0:00:15,0.01479209144117019,0.9713673916093611
"[35, 35, 35]",0:00:20,0.012694187682129475,0.974443357364172
"[35, 35, 35, 35]",0:00:15,0.013078854153601787,0.9754160621654195
"[35, 35, 35, 35, 35]",0:00:19,0.012938451353118913,0.9750797591490109
"[40, 40]",0:00:13,0.01462329005864375,0.9707526400357448
"[40, 40, 40]",0:00:19,0.013335759064289307,0.975907251835828
"[40, 40, 40, 40]",0:00:17,0.013283172690853072,0.9742560184876051
"[40, 40, 40, 40, 40]",0:00:20,0.012823479309293923,0.9710424641666515
"[45, 45]",0:00:14,0.014572365359146253,0.9707720215096628
"[45, 45, 45]",0:00:21,0.013003443230711996,0.9769255584480175
"[45, 45, 45, 45]",0:00:28,0.012757284671208605,0.9755153942379623
"[45, 45, 45, 45, 45]",0:00:13,0.013476397970770737,0.9715484960516383
"[50, 50]",0:00:21,0.014129794081049925,0.9714057754652732
"[50, 50, 50]",0:00:20,0.012915182575714761,0.9703781654869479
"[50, 50, 50, 50]",0:00:18,0.01335167051168597,0.9748476245119638
"[50, 50, 50, 50, 50]",0:00:22,0.012860556108746509,0.9751524861949875
"[15, 15]",0:00:11,0.015946385832209756,0.9689609657433736
"[15, 15, 15]",0:00:18,0.014366275803138833,0.9731508632508549
"[15, 15, 15, 15]",0:00:17,0.01395311489908587,0.9739009626145633
"[15, 15, 15, 15, 15]",0:00:17,0.013379042404519507,0.9751094780147588
"[20, 20]",0:00:10,0.015857340351639385,0.9685127499906822
