percentage,numberPoints,testR2,testMse
0.1,3075,0.9612484862084668,0.03887017448461822
0.15,4612,0.9670657476340866,0.03306013267241633
0.2,6150,0.9684448653667465,0.03168302660656478
0.25,7688,0.9678749398224475,0.032253609870083355
0.3,9225,0.9689983040668024,0.03112693207629925
0.35,10763,0.9670909591454526,0.033039126636184336
0.4,12301,0.9700246366677239,0.030101755450899163
0.45,13838,0.9710640708824482,0.02906093010610296
0.5,15376,0.9707379338036501,0.02938702888925673
0.55,16914,0.9696654542532345,0.03046028816504069
0.6,18451,0.9694992013484808,0.03062768249742985
0.65,19989,0.9703189150656751,0.029806326770086735
0.7,21527,0.9706869227257061,0.02943878051504528
0.75,23064,0.974047798840561,0.026064858308089103
0.8,24602,0.973886234322708,0.026228238179132005
0.85,26140,0.9739512548577598,0.026160557293581885
0.9,27677,0.9703784248183839,0.02974691910004508
0.95,29215,0.9744280815349097,0.025683804114637183
1.0,30753,0.9740552945433786,0.026058266240215195
