hiddenLayerSize,trainTime,loss,bestValidationScore
"[15, 15]",0:02:58,0.1695068424739295,0.6669768475988384
"[15, 15, 15]",0:02:26,0.15663716369348593,0.68287452395237
"[15, 15, 15, 15]",0:01:41,0.15260554936776632,0.6943041475070858
"[15, 15, 15, 15, 15]",0:02:45,0.1454010305241401,0.7090136091549368
"[20, 20]",0:01:53,0.16995314789494195,0.6586589542199188
"[20, 20, 20]",0:02:12,0.1517335099451109,0.7021575787772326
"[20, 20, 20, 20]",0:01:58,0.1499027604691206,0.699966979434327
"[20, 20, 20, 20, 20]",0:01:26,0.14746909727677404,0.7044512540493875
"[25, 25]",0:02:51,0.16689749672990034,0.6649757282259009
"[25, 25, 25]",0:02:02,0.15142811197223185,0.6982592458668876
"[25, 25, 25, 25]",0:02:56,0.14118936267719523,0.7213906414647845
"[25, 25, 25, 25, 25]",0:01:31,0.145743268224027,0.7089137467470557
"[30, 30]",0:02:25,0.16548827608089606,0.6705420863768272
"[30, 30, 30]",0:01:43,0.14922042360049112,0.7027228208097677
"[30, 30, 30, 30]",0:01:34,0.14493398816556807,0.7086775663852025
"[30, 30, 30, 30, 30]",0:01:21,0.1450103464409243,0.7095591197242227
"[35, 35]",0:01:53,0.16581147681888178,0.6673761485655586
"[35, 35, 35]",0:02:11,0.1449398691578865,0.7101708236533623
"[35, 35, 35, 35]",0:01:45,0.14351265582582773,0.7202262018441735
"[35, 35, 35, 35, 35]",0:01:23,0.14309318398828746,0.7107040622176828
"[40, 40]",0:02:23,0.1631609623531487,0.6724083519954065
"[40, 40, 40]",0:02:10,0.14606414632266834,0.7042329264839648
"[40, 40, 40, 40]",0:01:38,0.14453959584857123,0.7166391798651173
"[40, 40, 40, 40, 40]",0:01:19,0.1468432526708579,0.7047721997298512
"[45, 45]",0:02:02,0.16369428650347184,0.6636398279049089
"[45, 45, 45]",0:01:43,0.14780358985850375,0.7029530047325538
"[45, 45, 45, 45]",0:02:26,0.14337692687868892,0.7195304029355706
"[45, 45, 45, 45, 45]",0:01:59,0.1417310391648004,0.7247294753310559
"[50, 50]",0:02:15,0.1598228816125344,0.6785208798812498
"[50, 50, 50]",0:01:24,0.15091677949880036,0.6904096981770141
"[50, 50, 50, 50]",0:01:18,0.15257759668944218,0.7080349260620661
"[50, 50, 50, 50, 50]",0:02:07,0.14353399130753264,0.7163377459443049
"[15, 15]",0:02:34,0.17965247797416645,0.6431854208778781
"[15, 15, 15]",0:03:44,0.1559775830443481,0.6871852959590136
"[15, 15, 15, 15]",0:02:25,0.14963776260619333,0.6992213897915769
"[15, 15, 15, 15, 15]",0:01:20,0.15018809944206188,0.6972100989165214
"[20, 20]",0:03:07,0.16896365810737188,0.6620700061360116
