hiddenLayerSize,trainTime,loss,bestValidationScore
"[15, 15]",0:01:13,0.0640309276183277,0.8720505012138503
"[15, 15, 15]",0:02:02,0.05710701975534664,0.8874872170763235
"[15, 15, 15, 15]",0:01:30,0.05649716023985283,0.8869749314638143
"[15, 15, 15, 15, 15]",0:02:45,0.05391920257189925,0.8879060350955429
"[20, 20]",0:01:26,0.060083475801694146,0.8810168526346447
"[20, 20, 20]",0:02:49,0.05608884343925738,0.8881572551096248
"[20, 20, 20, 20]",0:02:12,0.053441649981897967,0.8957392852936963
"[20, 20, 20, 20, 20]",0:01:48,0.051869250280565694,0.8977379531157159
"[25, 25]",0:02:10,0.05810342175070478,0.8838353369627451
"[25, 25, 25]",0:01:52,0.05437640458296994,0.893656980388565
"[25, 25, 25, 25]",0:02:41,0.04907104960546761,0.9054948557778213
"[25, 25, 25, 25, 25]",0:02:39,0.048877293998084353,0.9019062225839429
"[30, 30]",0:01:47,0.05739220701038558,0.8847051787034472
"[30, 30, 30]",0:01:47,0.05275209741652281,0.8934337592582124
"[30, 30, 30, 30]",0:02:13,0.049720816351842785,0.9023324788814495
"[30, 30, 30, 30, 30]",0:02:28,0.048398098490463115,0.9041266700520796
"[35, 35]",0:01:42,0.05624542548478023,0.8877239166892116
"[35, 35, 35]",0:02:11,0.050506644036314205,0.902026253651881
"[35, 35, 35, 35]",0:02:33,0.04803095873599236,0.9042827649716172
"[35, 35, 35, 35, 35]",0:03:30,0.045737322046772895,0.9122213001230112
"[40, 40]",0:01:45,0.056714892058910706,0.8848246272377933
"[40, 40, 40]",0:02:38,0.049631736428360336,0.9017888391839971
"[40, 40, 40, 40]",0:03:33,0.046218759342327984,0.9066524329902386
"[40, 40, 40, 40, 40]",0:02:39,0.04742562861407024,0.9061711520463261
"[45, 45]",0:02:32,0.05463487906398141,0.8898838164336116
"[45, 45, 45]",0:02:39,0.04865871536831158,0.9014968328173951
"[45, 45, 45, 45]",0:02:40,0.04669113752381027,0.9104215305365295
"[45, 45, 45, 45, 45]",0:03:03,0.04572591815393938,0.9114307373864993
"[50, 50]",0:01:43,0.05516780930445705,0.8925408515943605
"[50, 50, 50]",0:03:39,0.048071643485712544,0.9043801717814446
"[50, 50, 50, 50]",0:03:03,0.045918903786771326,0.9112040267127164
"[50, 50, 50, 50, 50]",0:03:33,0.0451557923844739,0.9099677889460703
"[15, 15]",0:02:09,0.061892351476618944,0.8781604343373002
"[15, 15, 15]",0:01:10,0.060221600369969215,0.8813984048220866
"[15, 15, 15, 15]",0:02:02,0.056759369715957804,0.8881943294663364
"[15, 15, 15, 15, 15]",0:02:37,0.054550238252438446,0.8914008694610692
"[20, 20]",0:01:43,0.059532064361386264,0.8823908579428162
"[20, 20, 20]",0:01:03,0.05768303763273025,0.8840401208223214
"[20, 20, 20, 20]",0:01:42,0.053644952241666544,0.8909637431016668
"[20, 20, 20, 20, 20]",0:02:38,0.0511525066532259,0.8984494815161745
"[25, 25]",0:02:09,0.058160842166356225,0.886001561425644
"[25, 25, 25]",0:02:15,0.0529155992972493,0.8958120874181357
"[25, 25, 25, 25]",0:02:35,0.05059299387021294,0.8994940870192454
"[25, 25, 25, 25, 25]",0:03:36,0.04894498583676466,0.9050607303248301
"[30, 30]",0:01:34,0.05759330344163873,0.8841398987758136
"[30, 30, 30]",0:03:55,0.04918749854564025,0.9013423466220919
"[30, 30, 30, 30]",0:02:23,0.04956138427407045,0.901792227098722
"[30, 30, 30, 30, 30]",0:01:32,0.05103807999003893,0.896368092952343
"[35, 35]",0:01:28,0.0568280714544903,0.8870115305582564
"[35, 35, 35]",0:02:34,0.049080432330598306,0.9010594746930127
"[35, 35, 35, 35]",0:01:54,0.04934920242504405,0.9017929312100809
"[35, 35, 35, 35, 35]",0:01:47,0.048699127125689134,0.9037964612639087
"[40, 40]",0:01:49,0.05637711370713969,0.8891369104236703
"[40, 40, 40]",0:01:53,0.05176707628341868,0.8963932301516518
"[40, 40, 40, 40]",0:02:44,0.047219228149360075,0.9062040865784184
"[40, 40, 40, 40, 40]",0:02:51,0.04564090805306106,0.907757622930036
"[45, 45]",0:01:28,0.05645356663667884,0.8884553158891908
"[45, 45, 45]",0:01:33,0.051278677990462554,0.8991899260865155
"[45, 45, 45, 45]",0:02:41,0.04758232931854639,0.9060773346678679
"[45, 45, 45, 45, 45]",0:03:12,0.04571604509446068,0.9094243834702301
"[50, 50]",0:01:59,0.055025023764005795,0.8937856851729068
"[50, 50, 50]",0:03:36,0.04689770862264777,0.907487779736676
"[50, 50, 50, 50]",0:03:02,0.04588669871431678,0.9074698305699678
"[50, 50, 50, 50, 50]",0:01:57,0.04699208194358509,0.907905102177953
"[15, 15]",0:01:17,0.06253262434579057,0.8769849408672847
"[15, 15, 15]",0:01:38,0.05950850539044464,0.8809650007393774
"[15, 15, 15, 15]",0:02:27,0.0556343311906053,0.8904391026164918
"[15, 15, 15, 15, 15]",0:02:28,0.053696499930029284,0.8917871366804268
"[20, 20]",0:02:08,0.0589025608007094,0.8829010190372164
"[20, 20, 20]",0:01:23,0.05712589686491006,0.8884026215763717
"[20, 20, 20, 20]",0:03:19,0.05103697323407925,0.898365988743636
"[20, 20, 20, 20, 20]",0:03:43,0.04908326681696681,0.9012795157055143
"[25, 25]",0:01:51,0.057929767858520324,0.882320865924816
"[25, 25, 25]",0:01:48,0.053764786346061015,0.8934574108555414
"[25, 25, 25, 25]",0:02:15,0.050947286926505436,0.8976395622358705
"[25, 25, 25, 25, 25]",0:02:27,0.050094394787431946,0.901465500327091
"[30, 30]",0:01:41,0.05794499653752489,0.885573408711496
"[30, 30, 30]",0:01:41,0.05326589030511542,0.8928620371654601
"[30, 30, 30, 30]",0:03:24,0.04754322338487306,0.9048655774377468
"[30, 30, 30, 30, 30]",0:03:06,0.04630332825149221,0.9089519430049436
"[35, 35]",0:01:12,0.05728317744780266,0.8852680336859107
"[35, 35, 35]",0:03:00,0.049438555950003765,0.9005154251928775
"[35, 35, 35, 35]",0:02:29,0.0475960541745763,0.9061818404074786
"[35, 35, 35, 35, 35]",0:02:32,0.04697999608623577,0.9076783473077562
"[40, 40]",0:01:36,0.056537857186601606,0.8875120946886443
"[40, 40, 40]",0:01:45,0.05160038025355126,0.8957934672330972
"[40, 40, 40, 40]",0:02:44,0.04718542251721517,0.9048743353697402
"[40, 40, 40, 40, 40]",0:02:15,0.04699739099922556,0.907438189730798
"[45, 45]",0:01:15,0.05710783355995005,0.8850177070138354
"[45, 45, 45]",0:03:26,0.04835358810685499,0.9020160064763763
"[45, 45, 45, 45]",0:03:14,0.04611191290899041,0.909506064379654
"[45, 45, 45, 45, 45]",0:02:46,0.04586804588054045,0.9080048395321321
"[50, 50]",0:02:33,0.053475291985617145,0.8933244407378877
"[50, 50, 50]",0:03:57,0.04751492280319624,0.9079832670057665
"[50, 50, 50, 50]",0:03:32,0.04521095527579903,0.9077924320242119
"[50, 50, 50, 50, 50]",0:03:54,0.044994955438311515,0.9133585258360442
"[15, 15]",0:01:58,0.06160091576749558,0.8746783239112175
"[15, 15, 15]",0:01:19,0.059574432611012,0.8803606086461719
"[15, 15, 15, 15]",0:01:22,0.0574827594936167,0.8854827136072959
"[15, 15, 15, 15, 15]",0:02:31,0.05407120550686441,0.8933150800592246
"[20, 20]",0:01:29,0.060618833833691925,0.8777933704924838
